algorithm,code_version,configuration_hash,edge_node_ratio,experiment_id,false_merge_rate,false_track_rate,fragmentation,identity_switches,lambda_q25,lambda_q50,lambda_q75,n_edges,n_vertices,random_seed,recovery_time_s,scenario_family,spectral_gap,track_count,track_precision,track_purity,track_recall
baseline_kf_nn,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,,TFL-UAS-001A,0.5,0.0,1,2,,,,,,101,1.0,S3+S4,,2,0.9957081545064378,0.995575221238938,0.9958677685950413
ric_graph_v0,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,2.5355648535564854,TFL-UAS-001A,0.3333333333333333,0.0,2,1,0.8245429634799596,1.0920238610591093,1.3065095357629917,606,239,101,nan,S3+S4,5.419306035156284e-16,3,0.75,0.837121212121212,0.3909755017709563
baseline_kf_nn,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,,TFL-UAS-001A,0.0,0.0,0,0,,,,,,102,1.0,S3+S4,,2,1.0,1.0,1.0
ric_graph_v0,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,2.5042372881355934,TFL-UAS-001A,0.2,0.0,4,1,0.8030850792176353,1.069681910897544,1.316522510921355,591,236,102,nan,S3+S4,2.233126256058279e-15,5,0.7611111111111111,0.9054945054945055,0.39031139315230223
baseline_kf_nn,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,,TFL-UAS-001A,0.3333333333333333,0.3333333333333333,2,2,,,,,,103,1.0,S3+S4,,3,0.9872340425531915,0.9970501474926253,0.9876033057851239
ric_graph_v0,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,2.581589958158996,TFL-UAS-001A,0.0,0.0,2,0,0.8363565688076466,1.0820043623314284,1.3007201513869113,617,239,103,nan,S3+S4,1.5720686093895062e-15,4,1.0,1.0,0.6051874262101535
baseline_kf_nn,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,,TFL-UAS-001A,0.0,0.3333333333333333,1,0,,,,,,104,1.0,S3+S4,,3,0.9914893617021276,1.0,0.9958677685950413
ric_graph_v0,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,2.514644351464435,TFL-UAS-001A,0.2,0.0,4,1,0.817934198989304,1.073728525639281,1.2986664530611647,601,239,104,nan,S3+S4,4.843747323877861e-16,5,0.7700534759358288,0.9,0.36965023612750886
baseline_kf_nn,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,,TFL-UAS-001A,0.5,0.0,1,2,,,,,,105,1.0,S3+S4,,2,0.9957081545064378,0.995575221238938,0.9958677685950413
ric_graph_v0,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,2.4771784232365146,TFL-UAS-001A,0.0,0.0,1,0,0.8210281873293899,1.0757133691754943,1.3052384434474635,597,241,105,nan,S3+S4,2.5439008900618633e-15,3,1.0,1.0,0.5336112750885478
baseline_kf_nn,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,,TFL-UAS-001A,0.3333333333333333,0.0,2,2,,,,,,106,1.0,S3+S4,,3,0.9914163090128756,0.9970238095238096,0.9831390200708383
ric_graph_v0,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,2.45,TFL-UAS-001A,0.2,0.0,4,1,0.8062644580935254,1.072791423759568,1.315839035499101,588,240,106,nan,S3+S4,4.3993328640697965e-16,5,0.7627118644067796,0.9023255813953488,0.3693181818181818
baseline_kf_nn,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,,TFL-UAS-001A,0.5,0.0,1,2,,,,,,107,1.0,S3+S4,,2,0.9956896551724138,0.9955357142857143,0.9914034828807556
ric_graph_v0,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,2.504166666666667,TFL-UAS-001A,0.25,0.0,3,1,0.8115771558798569,1.077234561019611,1.3031714300139627,601,240,107,nan,S3+S4,1.9614591393884244e-16,4,0.9943181818181818,0.9940476190476191,0.5428719008264462
baseline_kf_nn,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,,TFL-UAS-001A,0.5,0.0,1,2,,,,,,108,1.0,S3+S4,,2,0.9957081545064378,0.995575221238938,0.9958677685950413
ric_graph_v0,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,2.5617021276595744,TFL-UAS-001A,0.0,0.0,2,0,0.8300904198049386,1.0815648358729373,1.3095237690863426,602,235,108,nan,S3+S4,9.851406704456539e-16,4,1.0,1.0,0.5508043093270366
baseline_kf_nn,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,,TFL-UAS-001A,0.0,0.0,1,0,,,,,,109,1.0,S3+S4,,3,0.9957264957264957,1.0,0.9917355371900827
ric_graph_v0,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,2.4647302904564317,TFL-UAS-001A,0.25,0.0,3,1,0.8061889957095705,1.086045305675791,1.3110898015024157,594,241,109,nan,S3+S4,3.6474114408552875e-16,4,0.764367816091954,0.8765060240963856,0.3699822904368359
baseline_kf_nn,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,,TFL-UAS-001A,0.0,0.0,0,0,,,,,,110,1.0,S3+S4,,2,1.0,1.0,0.9958677685950413
ric_graph_v0,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,2.5635593220338984,TFL-UAS-001A,0.0,0.0,2,0,0.8140527769107703,1.0771546764500157,1.3093660651334407,605,236,110,nan,S3+S4,7.197226756510524e-16,4,1.0,1.0,0.5673332349468713
baseline_kf_nn,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,,TFL-UAS-001A,0.5,0.0,1,2,,,,,,111,1.0,S3+S4,,2,0.9956896551724138,0.9955357142857143,0.9914034828807556
ric_graph_v0,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,2.593220338983051,TFL-UAS-001A,0.0,0.0,2,0,0.8508133412660865,1.086510036491292,1.3043081009172848,612,236,111,nan,S3+S4,2.918570099524465e-15,4,1.0,1.0,0.5765938606847698
baseline_kf_nn,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,,TFL-UAS-001A,0.5,0.0,1,2,,,,,,112,1.0,S3+S4,,2,0.9956896551724138,0.9955357142857143,0.9914034828807556
ric_graph_v0,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,2.595744680851064,TFL-UAS-001A,0.3333333333333333,0.0,2,1,0.8446410928965996,1.09055965293032,1.310741510496109,610,235,112,nan,S3+S4,9.343985456786758e-16,3,0.7624309392265194,0.8458781362007168,0.3985758559622196
baseline_kf_nn,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,,TFL-UAS-001A,0.0,0.0,0,0,,,,,,113,1.0,S3+S4,,2,1.0,1.0,1.0
ric_graph_v0,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,2.6153846153846154,TFL-UAS-001A,0.25,0.0,3,1,0.829041722914011,1.0857766422296087,1.3174303537087597,612,234,113,nan,S3+S4,1.326234529951026e-15,4,0.9945945945945946,0.9945652173913043,0.5851903778040142
baseline_kf_nn,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,,TFL-UAS-001A,0.3333333333333333,0.3333333333333333,1,2,,,,,,114,1.0,S3+S4,,3,0.9830508474576272,0.995575221238938,0.9958677685950413
ric_graph_v0,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,2.5271966527196654,TFL-UAS-001A,0.25,0.0,3,1,0.8213943326830913,1.0904848464832138,1.3120519433514604,604,239,114,nan,S3+S4,2.989913392827027e-16,4,0.9890710382513661,0.9891304347826086,0.5724616292798111
baseline_kf_nn,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,,TFL-UAS-001A,0.5,0.0,1,2,,,,,,115,1.0,S3+S4,,2,0.9957081545064378,0.995575221238938,0.9958677685950413
ric_graph_v0,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,2.506276150627615,TFL-UAS-001A,0.25,0.0,3,1,0.8365327549391643,1.0781716681864548,1.3158630767501105,599,239,115,nan,S3+S4,8.659976639689318e-16,4,0.7657142857142857,0.8897849462365591,0.3979117473435655
baseline_kf_nn,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,,TFL-UAS-001A,0.0,0.0,0,0,,,,,,116,2.0,S3+S4,,2,1.0,1.0,0.9955357142857143
ric_graph_v0,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,2.506276150627615,TFL-UAS-001A,0.0,0.0,3,0,0.8231814751584559,1.0756516896975306,1.3145160410161487,599,239,116,nan,S3+S4,3.5114271310509095e-16,5,1.0,1.0,0.5463400236127509
baseline_kf_nn,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,,TFL-UAS-001A,0.5,0.0,1,2,,,,,,117,1.0,S3+S4,,2,0.9956896551724138,0.9955357142857143,0.9914034828807556
ric_graph_v0,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,2.546218487394958,TFL-UAS-001A,0.0,0.0,4,0,0.8276556402140722,1.0792367722421818,1.3022661934418946,606,238,117,nan,S3+S4,1.2803516135502424e-15,6,1.0,1.0,0.5549365407319953
baseline_kf_nn,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,,TFL-UAS-001A,0.5,0.0,1,2,,,,,,118,1.0,S3+S4,,2,0.9956896551724138,0.995575221238938,0.9917355371900827
ric_graph_v0,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,2.594017094017094,TFL-UAS-001A,0.3333333333333333,0.0,2,1,0.8247596378179513,1.0752794201968672,1.3122775890757108,607,234,118,nan,S3+S4,1.1940637145331111e-15,3,0.7471264367816092,0.837037037037037,0.395439787485242
baseline_kf_nn,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,,TFL-UAS-001A,0.3333333333333333,0.0,2,2,,,,,,119,1.0,S3+S4,,3,0.9914163090128756,0.9969969969969971,0.9828069657615113
ric_graph_v0,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,2.4791666666666665,TFL-UAS-001A,0.0,0.0,3,0,0.8066751144924218,1.0793360791424362,1.30758212628053,595,240,119,nan,S3+S4,5.311931169179622e-16,5,1.0,1.0,0.5549365407319953
baseline_kf_nn,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,,TFL-UAS-001A,0.5,0.0,1,2,,,,,,120,1.0,S3+S4,,2,0.9957081545064378,0.995575221238938,0.9958677685950413
ric_graph_v0,0.1.0,7dd8ed915067b7abfe1a38e2c6e59f024f228882ae8397f019565174279f53b8,2.502092050209205,TFL-UAS-001A,0.25,0.0,3,1,0.8146642647778495,1.0826914252479238,1.3085290123915203,598,239,120,nan,S3+S4,3.0133597589291085e-15,4,0.7457627118644068,0.8777173913043479,0.39577184179456903
